#SEQ,DATA,CMD,RECV,REPEAT,DELAY,RESULT
1,BarcodeOff,BB 00 01 00 06 00 FF FF FF FF 20 7E,BB 01 01 00 07 00 FF FF FF FF 20 00 7E,1,500,0
2,BarcodeOn,BB 00 01 00 06 FF FF FF FF FF 20 7E,BB 01 01 00 07 FF FF FF FF FF 20 00 7E,1,500,0
3,SetBarcode,BB 20 77 00 0B 16 4D 0D 53 43 4E 41 49 4D 32 2E 7E,BB 21 77 00 0A 80 53 43 4E 41 49 4D 32 06 2E 7E,1,3000,0
4,SetBeep,BB 00 AB 00 04 FF FF FF FF 7E,BB 01 AB 00 04 FF FF FF FF 7E,1,500,0
5,BarcodeRead,BB 20 36 00 05 02 00 00 00 00 7E,BB 22 22,1,500,0
6,BarcodeStop,BB 20 37 00 01 00 7E,BB 21 37 00 00 7E,1,500,0
7,BarcodeOff,BB 00 01 00 06 00 FF FF FF FF 20 7E,BB 01 01 00 07 00 FF FF FF FF 20 00 7E,1,500,0
8,NfcOff,BB 00 01 00 06 00 FF FF FF FF 40 7E,BB 01 01 00 07 00 FF FF FF FF 40 00 7E,1,500,0
9,NfcOn,BB 00 01 00 06 FF FF FF FF FF 40 7E,BB 01 01 00 07 FF FF FF FF FF 40 00 7E,1,500,0
10,SetNfc,BB 40 00 00 09 02 00 6F 02 01 2C 03 A3 0D 7E,BB 41 00 00 07 02 00 30 00 03 35 0D 7E,1,500,0
11,NfcRead,BB 40 00 00 0E 02 00 4E 07 00 51 0F 80 FF FF 00 03 38 0D 7E,BB 42 22,1,500,0
12,NfcStop,BB 40 00 00 0E 02 00 4E 07 00 00 00 80 00 00 00 03 DA 0D 7E,BB 41 00 00 07 02 00 30 00 03 35 0D 7E,1,500,0
13,NfcOff,BB 00 01 00 06 00 FF FF FF FF 40 7E,BB 01 01 00 07 00 FF FF FF FF 40 00 7E,1,500,0
